,Direct Irradiance,Horizontal Irradiance,Tilt Irradiance,fips
0,4.31,4.47,5.04,01015
1,4.28,4.42,4.99,01043
2,4.24,4.45,5.0,01073
3,4.25,4.38,4.94,01077
4,4.51,4.59,5.17,01081
5,4.14,4.35,4.9,01089
6,4.49,4.69,5.21,01097
7,4.26,4.41,4.97,01103
8,4.34,4.48,5.04,01127
9,7.73,5.56,6.52,04001
10,7.77,5.81,6.71,04003
11,7.6,5.4,6.38,04005
12,7.4,5.76,6.67,04013
13,7.83,5.61,6.59,04015
14,7.76,5.6,6.58,04017
15,7.66,5.78,6.65,04019
16,7.61,5.81,6.72,04021
17,7.62,5.54,6.46,04025
18,7.57,5.84,6.73,04027
19,4.68,4.4,5.03,05007
20,4.39,4.4,4.97,05045
21,4.36,4.37,4.92,05051
22,4.39,4.41,4.97,05119
23,4.38,4.39,4.94,05125
24,4.65,4.44,5.05,05131
25,4.71,4.42,5.05,05143
26,4.45,4.42,5.0,05145
27,5.47,4.96,5.68,06001
28,5.84,4.97,5.73,06007
29,5.67,5.09,5.81,06013
30,6.45,5.08,5.86,06017
31,5.97,5.25,5.92,06019
32,4.74,4.23,4.9,06023
33,7.66,5.89,6.79,06025
34,6.23,5.36,6.03,06029
35,5.88,5.3,5.98,06031
36,5.96,5.02,5.77,06033
37,5.85,5.31,6.07,06037
38,6.3,5.26,5.99,06039
39,5.01,4.76,5.46,06041
40,5.72,4.83,5.55,06045
41,5.88,5.22,5.91,06047
42,6.58,5.4,6.21,06053
43,5.81,5.03,5.76,06055
44,6.54,5.07,5.87,06057
45,5.56,5.27,6.01,06059
46,6.33,5.06,5.84,06061
47,8.01,5.94,6.88,06065
48,5.76,5.07,5.75,06067
49,7.48,5.72,6.69,06071
50,6.87,5.54,6.31,06073
51,4.11,4.29,4.9,06075
52,5.8,5.12,5.81,06077
53,6.85,5.5,6.31,06079
54,4.69,4.59,5.28,06081
55,6.37,5.42,6.23,06083
56,6.17,5.18,5.95,06085
57,5.76,5.03,5.78,06087
58,6.15,4.87,5.68,06089
59,5.61,5.06,5.77,06095
